,brewery_name,review_aroma,review_appearance,beer_style,review_palate,review_taste
0,Vecchio Birraio,2.0,2.5,Hefeweizen,1.5,1.5
1,Vecchio Birraio,2.5,3.0,English Strong Ale,3.0,3.0
2,Vecchio Birraio,2.5,3.0,Foreign / Export Stout,3.0,3.0
3,Vecchio Birraio,3.0,3.5,German Pilsener,2.5,3.0
4,Caldera Brewing Company,4.5,4.0,American Double / Imperial IPA,4.0,4.5
5,Caldera Brewing Company,3.5,3.5,Herbed / Spiced Beer,3.0,3.5
6,Caldera Brewing Company,3.5,3.5,Herbed / Spiced Beer,4.0,4.0
7,Caldera Brewing Company,2.5,3.5,Herbed / Spiced Beer,2.0,3.5
8,Caldera Brewing Company,3.0,3.5,Herbed / Spiced Beer,3.5,4.0
9,Caldera Brewing Company,3.5,5.0,Herbed / Spiced Beer,4.0,4.0
